38 Provinsi,,
,Bukan Angkatan Kerja (BAK) menurut Provinsi (Orang),
,2025,
,Februari,Agustus
ACEH,1416236,1441426
SUMATERA UTARA,3452818,3228835
SUMATERA BARAT,1293267,1284826
RIAU,1761278,1683958
JAMBI,923641,894789
SUMATERA SELATAN,1950469,2010824
BENGKULU,455150,454040
LAMPUNG,2061133,2125987
KEP. BANGKA BELITUNG,380380,362836
KEP. RIAU,541556,523683
DKI JAKARTA,2897460,2971824
JAWA BARAT,12092105,12950911
JAWA TENGAH,8019486,7700889
DI YOGYAKARTA,798202,770312
JAWA TIMUR,8587202,8710686
BANTEN,3227337,3371542
BALI,799039,804799
NUSA TENGGARA BARAT,980121,1005921
NUSA TENGGARA TIMUR,981579,1000420
KALIMANTAN BARAT,1394338,1263376
KALIMANTAN TENGAH,645253,681956
KALIMANTAN SELATAN,942616,965918
KALIMANTAN TIMUR,1074137,1042699
KALIMANTAN UTARA,173989,173323
SULAWESI UTARA,732201,695194
SULAWESI TENGAH,687949,648919
SULAWESI SELATAN,2481801,2375463
SULAWESI TENGGARA,619497,586187
GORONTALO,305450,290618
SULAWESI BARAT,309967,285727
MALUKU,475594,492188
MALUKU UTARA,311570,308648
PAPUA BARAT,123150,132261
PAPUA BARAT DAYA,150630,151814
PAPUA,214863,262581
PAPUA SELATAN,106574,109876
PAPUA TENGAH,232191,289758
PAPUA PEGUNUNGAN,136281,109029
INDONESIA,63736510,64164043