Provinsi,Produk Domestik Regional Bruto per Kapita HK (Ribu Rp)
Aceh,26800
Sumatera Utara,39140
Sumatera Barat,33188
Riau,83071
Jambi,46010
Sumatera Selatan,41284
Bengkulu,24953
Lampung,28907
Kepulauan Bangka Belitung,39908
Kepulauan Riau,92869
DKI Jakarta,192134
Jawa Barat,33482
Jawa Tengah,29367
DI Yogyakarta,31748
Jawa Timur,44423
Banten,41228
Bali,36203
Nusa Tenggara Barat,18687
Nusa Tenggara Timur,13509
Kalimantan Barat,27560
Kalimantan Tengah,40960
Kalimantan Selatan,35342
Kalimantan Timur,137510
Kalimantan Utara,95638
Sulawesi Utara,38064
Sulawesi Tengah,62584
Sulawesi Selatan,40290
Sulawesi Tenggara,39342
Gorontalo,26083
Sulawesi Barat,23903
Maluku,18393
Maluku Utara,36267
Papua Barat,71924
Papua Barat Daya,38869
Papua,47321
Papua Selatan,33940
Papua Tengah,69566
Papua Pegunungan,9095